Country;Year;Mental disorders;% Eating disorders;% Anxiety disorders;% Drug disorders;% Depressive disorders;%HappyPeople;Annual working hours per worker;Depressive disorders;Physical Activity;Drug use;Smoking;Life satisfaction;Productivity per hour worked;Continent;Paid work;Shopping;Personal care;Sports;Seeing friends;TV and Radio;Other leisure activities;Income
Canada;1942;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1941;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1940;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1939;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1938;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1937;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1936;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1935;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1934;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1933;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1932;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1931;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1930;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1929;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1928;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1927;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1926;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1925;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1924;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1923;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1922;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1921;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1920;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1919;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1918;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1917;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1916;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1915;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1914;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1913;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1912;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1911;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1909;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1908;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1907;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1906;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1905;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1904;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1903;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1902;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1901;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Canada;1900;;;;;;;;;;;;;;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;
Colombia;2020;;;;;;;;;;;;0.0578060007095337;;South America;;;;;;;;5780.0
Colombia;1949;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1948;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1947;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1946;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1945;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1944;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1943;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1942;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1941;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1940;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1939;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1938;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1937;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1936;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1935;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1934;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1933;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1932;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1931;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1930;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1929;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1928;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1927;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1926;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1925;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1924;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1923;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1922;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1921;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1920;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1919;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1918;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1917;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1916;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1915;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1914;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1913;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1912;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1911;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1909;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1908;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1907;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1906;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1905;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1904;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1903;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1902;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1901;;;;;;;;;;;;;;South America;;;;;;;;
Colombia;1900;;;;;;;;;;;;;;South America;;;;;;;;
Costa Rica;2020;;;;;;;;;;;;0.0658199977874756;;North America;;;;;;;;11460.0
Costa Rica;1949;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1948;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1947;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1946;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1945;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1944;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1943;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1942;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1941;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1940;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1939;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1938;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1937;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1936;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1935;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1934;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1933;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1932;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1931;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1930;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1929;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1928;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1927;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1926;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1925;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1924;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1923;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1922;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1921;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1920;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1919;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1918;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1917;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1916;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1915;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1914;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1913;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1912;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1911;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1909;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1908;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1907;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1906;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1905;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1904;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1903;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1902;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1901;;;;;;;;;;;;;;North America;;;;;;;;
Costa Rica;1900;;;;;;;;;;;;;;North America;;;;;;;;
Cyprus;2020;;;;;;;;;;;;0.0622090005874634;;Asia;;;;;;;;26110.0
Cyprus;1949;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1948;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1947;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1946;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1945;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1944;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1943;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1942;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1941;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1940;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1939;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1938;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1937;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1936;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1935;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1934;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1933;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1932;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1931;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1930;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1929;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1928;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1927;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1926;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1925;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1924;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1923;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1922;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1921;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1920;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1919;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1918;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1917;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1916;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1915;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1914;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1913;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1912;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1911;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1909;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1908;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1907;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1906;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1905;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1904;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1903;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1902;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1901;;;;;;;;;;;;;;Asia;;;;;;;;
Cyprus;1900;;;;;;;;;;;;;;Asia;;;;;;;;
Denmark;2020;;;;;;;;;;;;0.0763619995117188;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;62720.0
Denmark;1949;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1948;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1947;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1946;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1945;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1944;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1943;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1942;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1941;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1940;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1939;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1938;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1937;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1936;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1935;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1934;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1933;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1932;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1931;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1930;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1929;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1928;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1927;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1926;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1925;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1924;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1923;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1922;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1921;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1920;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1919;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1918;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1917;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1916;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1915;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1914;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1913;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1912;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1911;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1909;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1908;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1907;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1906;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1905;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1904;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1903;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1902;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1901;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Denmark;1900;;;;;;;;;;;;;;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;
Ecuador;2020;;;;;;;;;;;;0.0553329992294312;;South America;;;;;;;;5530.0
Ecuador;1949;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1948;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1947;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1946;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1945;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1944;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1943;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1942;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1941;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1940;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1939;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1938;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1937;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1936;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1935;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1934;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1933;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1932;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1931;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1930;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1929;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1928;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1927;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1926;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1925;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1924;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1923;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1922;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1921;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1920;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1919;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1918;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1917;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1916;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1915;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1914;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1913;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1912;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1911;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1909;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1908;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1907;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1906;;;;;;;;;;;;;;South America;;;;;;;;
Ecuador;1905;;;;;;;;;;;;;;South America;;;;;;;;
